ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Pins,3DModel,Contributor,Value,description,image,link,pps,subpart_no
1,1.2nF,"C3, C4, C8, C9, C15, C16",C0805,6,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
2,100pF,"C17, C29, C37",C0805,3,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
3,0.1uF,"C7, C10, C11, C12, C18, C19, C20, C21, C22, C23, C25, C27, C28, C30, C36",C0805,15,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
4,20k,"R1, R2, R7, R9, R15, R17",R0805,6,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
5,220R,"R3, R4, R10, R11, R16, R19",R0805,6,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
6,100k,"R5, R6, R12, R14, R18, R20, R35, R36, R37",R0805,9,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
7,12k,"R8, R13",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
8,5.1k,R21,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
9,1k,R23,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
10,8.2k,"R22, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34",R0805,12,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
11,X4611WV-04I-C28D40,"H1, H2, H3, H4, H5, H6",HDR-TH_4P-P2.00-V-M,6,X4611WV-04I-C28D40,XKB Connectivity,LCSC,C706995,0.053,4,HDR-TH_4P-P2.00-M-LI-1X4P,LCSC,,,,https://item.szlcsc.com/562479.html,,
12,1uF,C24,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,https://item.szlcsc.com/373011.html,,
13,10nF,C26,C0805,1,,,,,,2,C0805_L2.0-W1.3-H1.3,LCSC,,,,https://item.szlcsc.com/373011.html,,
14,10uF,"C32, C34",C0805,2,?,,,,,2,C0805_L2.0-W1.3-H1.3,SparkFun,,Capacitor,,https://item.szlcsc.com/373011.html,,
15,330pF,"C33, C35",C0805,2,,,,,,2,C0805_L2.0-W1.3-H1.3,LCEDA_Lib,,,,https://item.szlcsc.com/373011.html,,
16,1N4148,D2,SOD-80_L3.5-W1.5-FD,1,1N4148,SEMTECH,LCSC,C14516,0.007,2,SOD-80_BD1.5-L3.5,LCEDA_Lib,,,,https://item.szlcsc.com/79749.html,,
17,X4611WV-05I-C28D40,H7,HDR-TH_5P-P2.00-V-M,1,X4611WV-05I-C28D40,XKB Connectivity,LCSC,C706994,0.074,5,HDR-TH_5P-P2.00-M-LI-1X5P,LCSC,,,,https://atta.szlcsc.com/upload/public/pdf/source/20200518/C541858_7610F54454E936EFCDE06B655DF7C837.pdf,,
18,4.7M,R38,R0805,1,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
19,10k,"R39, R40, R41",R0805,3,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
20,47k,"R42, R43",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
21,TL072_SMD,U9,SO08,1,,,,,,8,,rossgrady,,,,,,1
22,100uF 10v NP,"C1, C2, C5, C6, C13, C14",CAP-D6.3-F2.5,6,EGH1HM100D11OTGS0,AISHI,LCSC,C160671,0.03,2,CAP-D6.3×H11.2×F2.5,LCEDA_Lib,,,,,,
23,47nF,C31,CAP- 2.5*4.6*7,1,FKP0D002200B00HSSD,,Mouser,,,2,,numaxim,220pf,,,,100pf,
24,1N5819,"D1, D3",SOD-123_FOR-5819,2,1N5819HWQ-7-F,Diodes Incorporated,LCSC,C460770,0.219,2,SOD-123_L2.8-W1.8-LS3.7-RD,LCSC,,,,https://item.szlcsc.com/301422.html,,
25,Ferrite,"F1, F2",R0805,2,,,,,,2,R0805_L2.0-W1.3-H0.6,LCEDA_Lib,,,,https://item.szlcsc.com/142685.html,,
26,SSI2164 SOIC-16,"U1, U2",SSI2164,2,,,,,,16,,siri87,,,,https://cabintechglobal.com/ssi2164,,1
27,TL074_SMD,"U3, U4",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,,,,,,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,rossgrady,,,,https://item.szlcsc.com/7253.html,,1
28,CD4024BM,"U5, U8",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,2,CD4024BM,TI(德州仪器),LCSC,C1547942,0.513,14,SOIC-14_L8.6-W3.9-H1.8-LS6.0-P1.27,LCSC,,,,https://item.szlcsc.com/7253.html,,
29,CD4017BCM,U6,SOIC16N,1,,,,,,16,,KiCad,,Decade CounterDivider with 10 Decoded Outputs,,,,
30,NCV2951CDR2G,U7,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,NCV2951CDR2G,ON(安森美),LCSC,C603885,0.404,8,SOIC-8_L4.9-W3.9-H1.7-LS6.0-P1.27,LCSC,,,,https://so.szlcsc.com/global.html?c=&k=C9843,,
